Sample ID,Study,Project ID,Condition ID,Replicate #,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,ALEdb sample,Additional Details,Biological Replicates,Alignment,DOI,GEO
control__wt_glc__1,Control,control,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,,2,94.33,doi.org/10.1101/080929,GSE65643
control__wt_glc__2,Control,control,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,,,2,94.24,doi.org/10.1101/080929,GSE65643
fur__wt_dpd__1,Fur,fur,wt_dpd,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,0,No,,MiSeq,,,2,98.04,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_dpd__2,Fur,fur,wt_dpd,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,,Batch,0,No,,MiSeq,,,2,98.3,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_fe__1,Fur,fur,wt_fe,1,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,1.06,No,,MiSeq,,,2,93.35,doi.org/10.1038/ncomms5910,GSE54900
fur__wt_fe__2,Fur,fur,wt_fe,2,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,,Batch,1.06,No,,MiSeq,,,2,92.38,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_dpd__1,Fur,fur,delfur_dpd,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.07,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_dpd__2,Fur,fur,delfur_dpd,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),37,7,Kanamycin,Batch,0,No,,MiSeq,,,2,98.31,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_fe2__1,Fur,fur,delfur_fe2,1,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin,Batch,0.62,No,,MiSeq,,,2,92.8,doi.org/10.1038/ncomms5910,GSE54900
fur__delfur_fe2__2,Fur,fur,delfur_fe2,2,Escherichia coli K-12 MG1655 del_fur,MG1655,M9,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),37,7,Kanamycin,Batch,0.62,No,,MiSeq,,,2,93.24,doi.org/10.1038/ncomms5910,GSE54900
